Time,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11
0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0
1.1,0,0,1,0,0,0,0,0,0,0,0,0
1.2,0,0,-1,0,0,0,0,0,0,0,0,0
2,0,0,-1,0,0,0,0,0,0,0,0,0
